Longitude,Latitude,label,cluster_id,fold,mod_label
-61.003575,14.6237,presence,9,8.0,1
-61.134725,14.773638,presence,9,8.0,1
-61.119204,14.863727,presence,9,8.0,1
-61.11,14.86,presence,9,8.0,1
-60.930548,14.525929,presence,9,8.0,1
-60.906022,14.486583,presence,9,8.0,1
-61.03691,14.672259,presence,9,8.0,1
-61.100836,14.620461,presence,9,8.0,1
-61.074,14.604,presence,9,8.0,1
-61.116669,14.81667,presence,9,8.0,1
-60.94228,14.67751,presence,9,8.0,1
-23.166668,15.25,presence,37,8.0,1
-23.661993,15.076115,presence,37,8.0,1
-24.41667,14.91667,presence,37,8.0,1
-24.716667,14.866667,presence,37,8.0,1
-24.70562,14.839939,presence,37,8.0,1
-24.376144,14.90763,presence,37,8.0,1
-23.160782,15.199386,presence,37,8.0,1
-23.620663,15.083395,presence,37,8.0,1
-23.512173,14.930189,presence,37,8.0,1
-24.49851,14.89635,presence,37,8.0,1
-62.167144,16.69888,presence,33,9.0,1
-64.8347,17.7245,presence,33,9.0,1
-64.968077,18.344514,presence,33,9.0,1
-64.936531,18.353291,presence,33,9.0,1
-64.728096,18.336811,presence,33,9.0,1
-64.737709,18.327579,presence,33,9.0,1
-64.747948,17.73563,presence,33,9.0,1
-89.187727,13.958724,presence,18,4.0,1
-89.282169,13.683684,presence,18,4.0,1
-88.784615,13.641916,presence,18,4.0,1
-89.213986,13.7029,presence,18,4.0,1
-89.293715,14.126245,presence,18,4.0,1
-89.738137,13.719141,presence,18,4.0,1
-89.714148,13.735508,presence,18,4.0,1
-89.147831,13.702131,presence,18,4.0,1
-89.025764,13.934315,presence,18,4.0,1
-89.186568,13.736,presence,18,4.0,1
-89.555111,13.995372,presence,18,4.0,1
-87.838608,13.783611,presence,18,4.0,1
-88.187957,17.498126,presence,18,4.0,1
-88.746364,17.157316,presence,18,4.0,1
-88.711646,17.275703,presence,18,4.0,1
-88.889869,17.223938,presence,18,4.0,1
-88.799157,17.265007,presence,18,4.0,1
-88.937209,17.212543,presence,18,4.0,1
-88.834791,17.333925,presence,18,4.0,1
-88.842261,16.205645,presence,18,4.0,1
-59.61,13.1,presence,9,8.0,1
-69.789988,18.810016,presence,33,9.0,1
-68.45,18.71,presence,33,9.0,1
-69.331899,19.211481,presence,33,9.0,1
-69.9878,18.4965,presence,33,9.0,1
